For scores 95,95,88,88,88,70 ordered descending, what do row_number(), rank(), and dense_rank() output?	row_number: 1,2,3,4,5,6 (always unique). rank: 1,1,3,3,3,6 (ties share, then skip the used-up positions). dense_rank: 1,1,2,2,2,3 (ties share, no gaps).
Which SQL ranking function gives tied rows the same number with NO gap afterward, and what's the verbal rule?	dense_rank(). It numbers the distinct values: "how many distinct values are above me, plus one." (rank() would skip; row_number() never ties.)
How does rank() differ from dense_rank() on ties?	Both give tied rows the same number, but rank() then SKIPS the used-up positions (1,1,3), while dense_rank() leaves no gap (1,1,2). rank() = "how many rows strictly ahead of me, plus one."
Why should you never rely on row_number() to break ties without an explicit tiebreaker?	Among tied rows the order is arbitrary and can change between runs — the engine numbers them in whatever internal order it has. Add a real tiebreaker to ORDER BY (e.g. ORDER BY score DESC, id).
How do you write LAG/LEAD in ClickHouse, and what is the frame gotcha?	ClickHouse has no LAG/LEAD; use lagInFrame(x, offset, default) / leadInFrame(...). They obey the window frame, whose default (with ORDER BY) ends at CURRENT ROW — so leadInFrame sees nothing unless you widen it, e.g. ROWS BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING. lagInFrame works with the default frame.
What does the QUALIFY clause do in ClickHouse?	It filters rows on a window-function result without a wrapping subquery, e.g. ... QUALIFY row_number() OVER (...) = 1. It is to window functions what HAVING is to aggregates.
Difference between LIMIT 10 and QUALIFY dense_rank() OVER (ORDER BY x DESC) <= 10?	LIMIT 10 returns exactly 10 rows. QUALIFY dense_rank() <= 10 returns every row in the top 10 ranks, which can be MORE than 10 rows if there are ties. LIMIT cuts rows; QUALIFY-on-rank cuts ranks.
How do ClickHouse CTEs (WITH ... AS) differ from Postgres CTEs in evaluation?	ClickHouse inlines/substitutes a CTE at each reference (re-evaluated every use) instead of materializing it once, so referencing a heavy CTE twice runs it twice. Recursive CTEs exist since v23.4.
What does argMax(a, b) return, and which window function does it replace?	The value of column a at the row where b is maximal (argMin = at the minimum). It is the idiomatic ClickHouse shortcut for first_value/last_value-style "the X at the max/min of Y" without a window.
To get one row per group with its total, use sum() OVER (PARTITION BY g) or GROUP BY g?	GROUP BY g. A window function (sum() OVER) keeps every input row and just annotates each with the group's total — it never collapses to one row per group.
In ClickHouse, can an aggregate go directly inside a window's ORDER BY after GROUP BY?	Yes. e.g. SELECT customer_id, sum(amount), dense_rank() OVER (ORDER BY sum(amount) DESC) FROM t GROUP BY customer_id. Window functions run after aggregation, so the aggregate is available to the window — no subquery needed.
What is the default window frame when a window has ORDER BY but no explicit frame?	RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW. This is why sum() OVER (ORDER BY d) is a running total (not the grand total) and why leadInFrame can't see following rows by default.
What happens if you run CREATE TABLE ... IF NOT EXISTS for a table that already exists with a different engine/schema?	Nothing — it is a no-op on existence. Your new engine/columns are silently ignored and the old definition stays. It is idempotent on existence, not on definition; manage schema changes with migrations, not by hoping the DDL matches.
Why does stopping the minikube node's Docker container directly break kubectl/DBeaver, and how do you recover?	It is not a graceful shutdown: the control plane (kubelet/apiserver) stays down and the apiserver returns on a new host port, stale-ing kubeconfig ("connection refused"). Fix: minikube start -p <profile> (rewrites kubeconfig, restarts pods, keeps data). Host port-forwards always die on any stop/restart — re-run them afterward.
