How do PARTITION BY and ORDER BY differ in a MergeTree table?	They are orthogonal. PARTITION BY physically splits the table into separate on-disk directories (one per partition value) and enables skipping whole directories; ORDER BY sorts rows within a part and builds the sparse primary index for finding rows inside data you've decided to read.
What is partition pruning?	Skipping entire partitions before reading any granule, using partition/MinMax metadata, when the query's WHERE filters on the partition key. In EXPLAIN indexes=1 it shows as Parts dropping (e.g. 36/36 to 3/36) at the MinMax/Partition stage.
Why is a coarse partition key like toYYYYMM preferred over a high-cardinality one?	Every partition is at least one part, so partitioning by something high-cardinality (user_id, toStartOfMinute) explodes the part count and triggers TOO_MANY_PARTS. Aim for tens-to-low-hundreds of partitions, typically a monthly or daily date bucket.
Can a single part span two partitions?	No. A part belongs to exactly one partition; that is what makes DROP PARTITION and TTL cheap metadata operations instead of row-by-row deletes.
When does the partition key help a query, and when is it dead weight?	It helps only when the query filters on the partition key (pruning). Partition on month but query by user_id with no date filter and you pay partitioning overhead for zero pruning benefit.
Why can a point lookup in ClickHouse read ~90K rows to return ~30 matching rows?	The sparse primary index skips at granule granularity (~8192 rows/mark), not row granularity. It guarantees reading only matching granules, never only matching rows, so it reads whole granules around the matches.
In EXPLAIN indexes=1, what does binary search vs generic exclusion search tell you?	binary search means the filter hit the ORDER BY prefix (leading key column) and the PK can jump directly. generic exclusion search means the filter is on a non-prefix key column, so the PK can only exclude some granules and it's slower.
Two tables, same data, WHERE user_id=42: ORDER BY (user_id,event_date) reads 90K rows, ORDER BY (country,event_date,user_id) reads 957K. Why?	When user_id is the leading key, binary search jumps to its granules. When user_id is last, granules are sorted by country then event_date, so almost every granule's user_id min/max spans a range including 42 and can't be skipped, forcing a near-scan.
What is the practical rule for ordering columns in ORDER BY?	Put the highest-selectivity / most-frequently-filtered column first; the leading column gets true binary-search skipping, trailing columns get much weaker skipping.
What is the index funnel shown by EXPLAIN indexes=1, in order?	MinMax then Partition then PrimaryKey. Each stage reports Parts and Granules selected out of total, and each narrows what the next stage sees (e.g. MinMax/Partition drop whole parts, PrimaryKey drops granules within survivors).
Dense vs sparse primary index: Postgres B-tree vs ClickHouse MergeTree?	Postgres B-tree is dense: one entry per row pointing at the exact tuple, so a filter resolves to exact rows (great for OLTP point lookups). ClickHouse is sparse: one entry per ~8192-row granule, so a filter resolves to granules (great for OLAP range scans, wasteful for single-row lookups).
On a full-table sum(amount), why does Postgres read all columns but ClickHouse reads only one?	Postgres is a row-store: a Seq Scan pulls whole rows (all columns) off disk even to sum one column. ClickHouse is a column-store: it reads only the amount column file. On wide tables this ratio is the core reason OLAP engines are columnar.
How many physical sort orders does a ClickHouse MergeTree table have, and how do you serve other access patterns?	Exactly one, defined by ORDER BY. Any other access pattern is a scan unless you add a data-skipping index or a projection; contrast Postgres, where you can add many independent secondary B-tree indexes.
Why does ClickHouse not need a separate heap-fetch step like Postgres' Bitmap Heap Scan?	ClickHouse data is clustered: the rows physically are stored sorted by the ORDER BY key, so the index points straight into the sorted column files. Postgres' B-tree is separate from the heap, so it must do an extra hop to fetch the row bodies.
