What is a "part" in a MergeTree table?	An immutable, sorted (by ORDER BY key) folder of columnar files written by one INSERT; a table is a pile of parts that a background pool merges into bigger ones.
What does the MergeTree background merge do, and when does it run?	It k-way-merges small sorted parts into larger sorted parts, on ClickHouse's own schedule (eventually) — never guaranteed to have happened by the time you read.
Why is inserting rows one at a time the classic ClickHouse anti-pattern?	Every INSERT creates a new part; thousands of tiny inserts create too many parts, causing merge pressure and the TOO_MANY_PARTS error. Batch inserts instead.
Name the two distinct jobs the ORDER BY clause does in a MergeTree table.	(1) Defines the physical on-disk sort order; (2) builds the sparse primary index (one mark per ~8192 rows) used to skip granules at query time. It is NOT a uniqueness constraint.
At merge time, what happens to rows sharing the ORDER BY key in MergeTree vs ReplacingMergeTree vs AggregatingMergeTree?	MergeTree keeps all of them; ReplacingMergeTree collapses to one (latest by version); AggregatingMergeTree collapses them into one aggregated row via aggregate-function states.
You insert 5000 rows into a ReplacingMergeTree, then run plain SELECT count(). What comes back and why?	A nondeterministic number between the deduped count and 5000 — count() never deduplicates; it returns physical rows across parts, reflecting only how far background merges happened to get.
How do you get the correct deduplicated result from a ReplacingMergeTree at read time?	Use SELECT ... FINAL (or aggregate with argMax / GROUP BY). Mantra: no FINAL, no guarantee.
What is the ReplacingMergeTree version column for, and what happens if you omit it?	The row with the highest version wins on collapse; omit it and ClickHouse keeps the last row merged, which is nondeterministic across parts — always pass a version.
In AggregatingMergeTree, what is the difference between the -State and -Merge combinators?	-State (e.g. uniqState, countState) writes a partial aggregate blob on insert; -Merge (uniqMerge, countMerge) combines those partial states into the final value at read time.
Why does AggregatingMergeTree store a uniqState blob instead of a plain integer distinct-count?	Non-additive aggregates (uniq, quantiles, avg) can't be combined from a single number; the state carries enough structure (e.g. a HyperLogLog sketch for uniq) to merge partials exactly.
Decode the part name all_1_2_1.	partition=all (no PARTITION BY), min block=1, max block=2, merge level=1 (merged once). Format is {partition}_{minBlock}_{maxBlock}_{level}.
What is the difference between uniq() and uniqExact() in ClickHouse?	uniq() is approximate (HyperLogLog, cheap); uniqExact() is exact but heavier. uniq is exact only coincidentally at very small cardinalities.
What does ClickHouse return for 1/0 and 0/0, and how does that differ from BigQuery?	inf and nan respectively, with no error; BigQuery's 1/0 raises an error and SAFE_DIVIDE returns NULL. In ClickHouse you must guard division yourself.
Are ClickHouse arrays 0- or 1-indexed, and how does inserting NULL into a non-Nullable column behave?	Arrays are 1-indexed ([10,20,30][1]=10). Columns are NOT NULL by default; inserting NULL into a non-Nullable column throws — nullability is opt-in via Nullable(T) and costs storage/perf.
